,latitude,longitude,bc,co,no2,o3,pm10,pm25,so2
119,39.7589,-86.3972,,,,0.014,,,
120,45.0061,-65.0,,,0.0,0.024,,6.0,
121,27.7858,-82.74,,,0.023,0.007,,10.6,
122,34.135601,-117.922798,,,,0.002,,,
123,40.7356,-73.4061,,,,0.019,,,
124,52.334,4.77401,,-999.0,-999.0,,39.715,30.41,
125,43.746944,-101.941109,,,,0.012,11.0,6.7,
126,46.6144,-90.6986,,,,0.019,,,
127,44.78822,-117.8446,,,,,,1.8,
128,35.3561,-119.0403,,,0.008,0.021,,4.0,
129,35.3313,-119.0,,,,0.032,,,
130,52.9169,5.57349,,,3.21,64.33,25.87,,
131,54.861595,-6.250873,,,5.0,,,,0.0
132,39.371679,-76.746814,,,0.012,,,,
133,18.419425,99.727046,,,0.006,0.014,26.0,,0.001
134,13.684229480854,100.44598735492,,3.29,0.0,0.017,22.0,,
135,13.807158152425,100.50631878903,,0.8,0.013,0.006,24.0,,0.0
136,13.666116121283,100.60574118114,,0.39,0.017,0.001,24.0,,0.0
137,6.427698,101.823568,,0.31,,,11.0,,
138,44.798859,-68.769676,,,,,,7.0,
139,13.907826934415,100.53565359343,,0.29,0.023,0.19,48.0,,0.007
140,13.763936293311,100.52907795047,,,,,29.0,,
141,13.567696531322,100.78940318041,,1.08,0.0,0.005,45.0,,0.0
142,33.9278,-116.8733,,,,0.02,,8.0,
143,13.360626576582,100.98454092591,,1.21,0.024,0.001,23.0,,
144,40.4656,-79.9611,,,,0.006,,7.0,
145,-34.3075,150.58,,,0.001,0.02,10.1,,0.0
146,44.351665,-68.227219,,,,0.024,,,
147,53.56292,-1.510436,,,15.0,23.0,,,3.0
148,51.074793,-4.041924,,,,,13.0,11.0,
149,44.3922,-79.3922,,,,0.001,,7.0,
150,52.6541,6.01757,,,15.81,44.39,20.8567,,
151,34.894054,-117.024756,,,,0.026,59.0,,
152,47.9153833,106.8941944,,738.0,90.0,,1.0,165.0,44.0
153,44.28,-108.041107,,,,0.038,,,
154,37.8714,-87.4633,,,,0.004,,9.3,
155,39.0828,-84.1441,,,,0.016,,9.4,
156,38.1372,-85.5783,,,,0.0,,12.8,
157,33.991509,-81.024141,,,,,17.0,,
158,51.391127,-2.354155,,,34.0,,,,
159,-33.4033333,149.5733333,,,,,10.2,5.7,
160,47.6094,-65.6333,,,0.001,0.017,,6.0,
161,18.41923,-66.15042,,,,0.011,,,
162,47.95756,106.822752,,,,,127.0,136.0,20.0
163,43.5714,-83.8908,,,,,,11.7,
164,26.4489,-81.9394,,,,0.026,,,
165,40.67025,-74.126083,,,0.009,0.016,,,0.0
166,30.2211,-91.3153,,,,0.058,,,
167,30.4744,-88.1411,,,,0.0,,,
168,43.1811,-87.9006,,,,0.018,,,
169,29.7708,-95.0311,,,,,,10.7,
170,29.812,-94.9878,,,,0.032,,,
171,29.823319,-94.983786,,,,0.059,,,-0.0001
172,29.7330556,-94.9847222,,,,0.044,,,
173,35.428001,-76.739998,,,,,,,0.0
174,46.35,-72.4333,,,,,,8.0,
175,39.8172,-75.5639,,,,0.021,,,
176,35.6075,-82.5833,,,,,,12.0,
177,37.358898,-77.593597,,,,0.02,,,
178,34.8848,-76.6203,,,,0.031,,,
179,30.0394,-94.0747,,,,0.002,,,
180,40.747799,-80.316704,,,,0.002,,3.3,
181,55.1964,-119.3967,,,,0.016,,0.8,
182,45.4702,-122.8159,,,,,,1.7,
183,27.2906,-82.5072,,,,,,9.8,
184,39.95,116.47,,,,,,17.0,
185,54.59965,-5.928833,,,30.0,34.0,15.0,11.0,1.0
186,54.572586,-5.974944,,,42.0,,25.0,,
187,26.724167,-80.663055,,,,,,7.5,
188,44.1503,-77.3956,,,,0.007,,6.0,
189,47.613,-122.2017,,,,,,1.7,
190,39.773899,-75.496399,,,,0.021,,,
191,48.762699,-122.440201,,,,,,9.2,
192,42.51831,-89.06347,,,,0.023,,,
193,39.0284,-76.8172,,,,0.018,,,0.001
194,44.063916,-121.312554,,,,,,1.5,
195,37.084458,-122.076311,,,,,,4.0,
196,42.887501,-73.249702,,,,0.016,,1.8,
197,41.36189,-81.864608,,,,0.0,,,
198,-32.7983333,151.66,,0.1,0.0017,0.011,7.4,,0.17
199,37.864767,-122.302741,2.08,1.1600000000000001,0.025,0.027,,17.0,
200,35.2994,-106.5483,,,,0.001,,,
201,36.3089,-79.8586,,,,0.017,,,
202,44.377794,-70.854697,,,,0.023,,,
203,38.006311,-121.641918,,0.18,0.005,0.014,,,0.001
204,52.4893,4.64053,,,,,38.0565,31.1348,
205,52.4487,5.61921,,,21.4,-998.0,19.6833,,
206,52.4232,5.59338,,,23.81,36.34,25.2009,,
207,51.5184,5.14845,,,25.94,30.48,35.0967,16.9645,
208,29.3025,-103.178101,,,,0.036,,4.3,
209,34.623199,-82.532097,,,,0.0,,,
210,42.486668,-110.099167,,,0.002,0.013,,,
211,36.247877,-121.781387,,,,,,233.0,
212,54.60537,-1.275039,,,3.0,,,,
213,45.782181,-108.511528,,,,,,3.2,
214,36.3619,-118.0108,,,,,5.0,,
215,52.437165,-1.829999,,,8.0,24.0,,9.0,
216,52.511722,-1.830583,,,20.0,52.0,14.0,7.0,2.0
217,52.512194,-1.830861,,,24.0,4.0,15.0,15.0,
218,45.366151,-106.48982,,,,0.026,3.0,-0.2,
219,37.3667,-118.4167,,,,0.008,30.0,,
220,43.917,18.8,,36.0,11.0,114.0,24.0,,1.0
221,53.747751,-2.452724,,,25.0,,,,
222,44.155636,-103.315765,,,,0.003,9.0,,
223,53.80489,-3.007175,,,28.0,27.0,,5.0,
224,35.4325,-79.2887,,,0.002,0.02,,12.5,0.0
225,38.445,-76.1114,,,,0.027,,,
226,45.1425,-93.2139,,0.27,0.011,0.005,10.0,3.0,0.001
227,38.656449,-90.198548,,0.31,0.015,0.004,,3.9,0.0
228,29.2069,-81.0531,,,,0.003,,14.9,
229,36.7422,-107.9769,,,,0.001,,,
230,39.159372,-86.504747,,,,,,1.6,
231,33.5455,-111.6093,,,,0.009,,,
232,39.047911,-94.450513,,0.35,0.01,,,12.8,
233,33.6122,-114.6006,,,,0.008,,,
234,35.5,-82.6,,,,0.024,,,
235,-36.803034,-73.120527,,,,,0.0,,
236,43.616379,-116.203817,,0.1,,,,,
237,43.618889,-116.213611,,,,,10.0,,
238,-22.111064,-70.210828,,,,,,35.41,
239,40.0519,-88.3724,,0.11,,0.02,,,0.001
240,40.052241,-88.372549,,,,,,0.4,
241,30.8475,-85.6044,,,,0.0,,18.1,
242,49.3864,-82.1214,,,,0.009,,,
243,48.705551,-116.368965,,,,,,5.8,
244,37.90084,-90.42388,,,,0.005,,,
245,38.0519,-87.2783,,,,0.009,,,
246,42.3489,-71.097702,,,0.025,,,,0.001
247,42.3631,-71.0542,,,,,,4.0,
248,42.329399,-71.082497,,0.16,0.009,0.02,,1.0,0.0
249,42.325197,-71.056056,,0.15,0.003,,,4.0,
250,51.8701,4.31806,,,-995.0,,-995.0,-995.0,
251,52.93028,-0.814722,,,,39.0,,,
252,42.7186,-109.7531,,,0.0,0.039,5.0,,
253,35.978125,-114.846297,,,,0.026,7.0,,
254,37.125861,-122.122127,,,,,,7.0,
255,40.0128,-105.2667,,,,,,0.0,
256,45.5231,-73.4939,,,,0.012,,,
257,50.73957,-1.826744,,,15.0,23.0,,,
258,41.377685,-83.611104,,,,0.014,,,
259,45.683765,-111.056282,,,,,,-2.7,
260,53.771245,-1.759774,,,27.0,,,,
261,41.2222,-88.1906,,,,0.008,,6.5,
262,46.3944,-94.1433,,,,0.013,,3.0,
263,38.65643,-90.18977,,,,,38.0,4.5,
264,49.8422,-99.9189,,,,0.003,6.0,8.1,
265,36.707649,-93.221809,,,,0.008,,,
266,43.1403,-80.2961,,,,0.001,,4.0,
267,32.978298,-115.5383,,,,,11.0,,
268,51.6031,4.78102,,,30.31,20.65,38.8833,-999.0,
269,51.5935,4.82494,,,36.52,,29.9233,22.1487,
270,47.592675,-122.627397,,,,,,3.8,
271,52.2015,4.98744,,,38.19,13.55,23.8967,17.8626,
272,40.712778,-81.598333,,,,0.001,,,
273,40.6847,-80.3597,,,,0.015,,,
274,41.171398,-73.195297,,0.22,,,,8.0,0.0
275,41.195,-73.1635,,,,,,,0.0
276,39.46487,-74.448738,,,,0.017,,11.4,0.0
277,41.492802,-112.0187,,,,0.028,,16.6,
278,50.840836,-0.147572,,,33.0,8.0,,,
279,-33.9194444,150.7611111,,0.0,0.0005,0.017,7.6,,0.064
280,40.107201,-74.882202,,,,0.017,,,
281,44.3,17.93,,0.0,9.0,69.0,46.0,,18.0
282,41.7178,-85.8247,,,,0.011,,,
283,51.462839,-2.584482,,,41.0,9.0,19.0,16.0,
284,45.440295,-105.37028,,,,0.025,104.0,2.8,
285,38.5425,-90.263611,,,,,,1.6,
286,42.065119,-71.012686,,,,0.023,,12.0,
287,40.814701,-73.886703,,,,,,2.7,
288,40.694401,-73.928596,,,,,,3.7,
289,45.4431,-73.4686,,,,0.009,,,
290,38.920835,-86.080523,,,,0.012,,,
291,25.8925,-97.4936,,,,0.001,,16.3,
292,41.826099,-72.595001,,,0.009,,,,0.0
293,53.800117,-112.927795,,,0.0,0.028,,1.9,0.0
294,31.1694,-81.4964,,,,0.012,,,
295,35.4356,-83.4436,,,,0.004,,8.2,
296,12.91281111,77.60921944,,1490.0,16.85,16.6,,,
297,33.37,-112.6207,,0.1,0.007,0.002,37.0,,
298,38.3986,-85.4433,,,,0.017,,,
299,42.8781,-78.8094,,,,,84.0,8.6,
300,37.652142,-91.11653,,,,,,,0.001
301,47.9176056,106.9373611,,1688.0,89.0,12.0,85.0,65.0,6.0
302,35.166111,-114.566111,,,,,3.0,,
303,29.778333,-95.538056,,,,0.046,,,
304,35.889402,-78.8747,,0.37,0.016,0.002,31.0,13.0,0.0
305,44.476101,-73.210297,,0.23,0.007,,,1.6,
306,49.21528,-122.98556,,,,0.007,,,
307,43.58925,-119.048302,,,,,,7.0,
308,53.559029,-2.293772,,,42.0,,14.0,,
309,55.862281,-3.205782,,,2.0,48.0,,,
310,36.3069,-79.0919,,,,0.025,,,
311,32.987202,-79.936699,,,,0.007,,,
312,39.282799,-78.081398,,,,0.017,,5.3,
313,36.1408,-78.7692,,,,0.019,,,
314,46.002399,-112.500893,,,,,2.0,-0.8,
315,61.534163,-149.031655,,,,,2.0,1.0,
316,12.93890556,77.69727222,,680.0,14.3,1.83,,,
317,51.9745,4.9233,,238.84,28.94,27.54,20.3767,13.735,0.89
318,34.1795,-93.0988,,,,0.037,,,
319,-36.996430960359,-73.115805357178,,,,,,,1.22
320,29.275299,-98.311699,,,,0.02,,5.4,
321,32.676102,-115.483299,,0.1,0.001,0.032,9.0,-1.0,0.0
322,51.0814,-114.1403,,0.17,0.003,0.025,,-1.3,
323,38.536722,-76.617194,,,,0.018,,,
324,19.4684,-99.1697,,0.9,0.029,0.008,25.0,14.0,0.002
325,52.20237,0.124456,,,28.0,,,,
326,-34.0416667,150.6902778,,,0.0005,0.021,4.9,,0.111
327,51.54421,-0.175269,,,77.0,,42.0,32.0,
328,39.934446,-75.125291,,0.2,0.008,0.015,,6.6,0.0
329,-34.0666667,150.7952778,,0.0,0.0007,0.006,12.5,,0.122
330,29.6322,-98.565002,,,,0.0,,,
331,-32.736065,-71.450827,,222.1,12.11,13.4,,,7.93
